,Ratings,Genre,Gross,Budget,Sequel,Views,Likes,Dislikes,Comments,Aggregate Followers,Year
1,6.3,8,9130,4000000,1,3280543,4632,425,636,1120000,2014
2,7.1,1,192000000,50000000,2,583289,3465,61,186,12350000,2014
3,6.2,1,30700000,28000000,1,304861,328,34,47,483000,2014
4,6.3,1,106000000,110000000,2,452917,2429,132,590,568000,2014
5,4.7,8,17300000,3500000,2,3145573,12163,610,1082,1923800,2014
6,4.6,3,29000,500000,1,91137,112,7,1,310000,2014
7,6.1,8,42600000,40000000,1,3013011,9595,419,1020,8153000,2014
8,7.1,1,5750000,20000000,1,1854103,2207,197,593,130655,2014
9,6.5,10,26000000,28000000,1,2213659,2210,419,382,125646,2014
10,6.1,8,48600000,12500000,1,5218079,11709,532,770,21697300,2014
11,7.3,1,350000000,58800000,1,3927600,13143,573,3134,24300,2014
12,5.7,8,15200000,30000000,1,519327,963,94,70,386400,2014
13,5.4,15,84300000,6500000,1,19032902,38810,4382,4392,19420105,2014
14,5.2,8,85900000,65000000,1,930006,5150,707,1484,5130800,2014
15,4.4,3,830000,5000000,3,595194,85,36,39,15112,2014
16,6.6,8,11800,6000000,1,3915978,6983,247,460,253000,2014
17,6.3,8,72300,5000000,1,1391527,2479,146,182,1658900,2014
18,6.9,3,14600000,7000000,1,1828235,7633,235,685,116100,2014
19,7.9,12,222000000,165000000,1,4700023,14163,538,1293,199800,2014
20,6.6,3,21600000,9000000,1,1348142,4404,307,1033,888000,2014
21,6.5,8,46300000,40000000,1,7977747,18690,1940,2214,2417000,2014
22,8,3,25400000,4000000,1,1671367,4572,207,741,105000,2014
23,5.7,1,20300000,28000000,1,2088644,6633,255,1235,3209000,2014
24,6.5,3,1870000,7000000,1,4398243,9202,454,1150,4769100,2014
25,7,3,9840,1000000,1,7128,1,0,0,2182,2014
26,6.7,9,6370000,3000000,1,2902492,9522,558,2296,0,2014
27,7.8,1,260000000,170000000,2,760262,2918,66,837,8030000,2014
28,7.7,1,209000000,170000000,2,1735700,6772,187,889,114000,2014
29,6.2,10,30500000,30000000,1,465219,1348,72,162,744600,2014
30,4,15,15800000,7000000,1,1844690,3728,581,729,9536,2014
31,6.8,2,151000000,85000000,1,463866,3400,152,987,1030000,2014
32,6.4,3,42000000,36000000,2,384448,1230,129,228,276750,2014
33,6.3,1,55900000,70000000,1,9149892,26427,1342,5278,395500,2014
34,6.8,3,28800000,27000000,1,522630,1248,153,227,147000,2014
35,5.8,8,86200000,35000000,3,3287020,7698,446,1122,17064000,2014
36,5.8,2,38900000,13000000,1,1488038,2571,553,643,88586,2014
